director,title
Oren Peli,Paranormal Activity
Phillip Noyce,Patriot Games
Tetsuo Yajima,Pokémon the Movie: Power of Us
Edwin,Posesif
Paul W.S. Anderson,Resident Evil: Afterlife
John Lyde,Riot
Steve Rash,Road Trip: Beer Pong
Keenen Ivory Wayans,Scary Movie
John Stockwell,Seal Team Six: The Raid on Osama Bin Laden
Gregg Bishop,Siren
Phillip Noyce,Sliver
Chris Koch,Snow Day
Baz Luhrmann,Strictly Ballroom
Rob Minkoff,Stuart Little
Rob Minkoff,Stuart Little 2
Tim Burton,Sweeney Todd: The Demon Barber of Fleet Street
Michael Pressman,Teenage Mutant Ninja Turtles II: The Secret of the Ooze
Steve Barron,Teenage Mutant Ninja Turtles: The Movie
Jonathan Mostow,Terminator 3: Rise of the Machines
McG,Terminator Salvation
Andrew Douglas,The Amityville Horror
Andrew Fleming,The Craft
Neil Jordan,The Crying Game
Jay Chandrasekhar,The Dukes of Hazzard
Robert Berlinger,The Dukes of Hazzard: The Beginning
David R. Ellis,The Final Destination
"Ricky Gervais, Matthew Robinson",The Invention of Lying
Peter Jackson,The Lord of the Rings: The Return of the King
Peter Jackson,The Lord of the Rings: The Two Towers
Martin Campbell,The Mask of Zorro
David Zucker,The Naked Gun 2 1/2: The Smell of Fear
David Zucker,The Naked Gun: From the Files of Police Squad!
Barry Levinson,The Natural
Spike Lee,The Original Kings of Comedy
Mimi Leder,The Peacemaker
Gore Verbinski,The Ring
Anthony Minghella,The Talented Mr. Ripley
Ron Underwood,Tremors
S.S. Wilson,Tremors 2: Aftershocks
Brent Maddock,Tremors 3: Back to Perfection
S.S. Wilson,Tremors 4: The Legend Begins
Don Michael Paul,Tremors 5:  Bloodline
Henry Hathaway,True Grit
Jason Reitman,Up in the Air
Robert Zemeckis,What Lies Beneath
Barry Sonnenfeld,Wild Wild West
Mel Stuart,Willy Wonka & the Chocolate Factory
Lawrence Kasdan,Wyatt Earp
Peyton Reed,Yes Man
Nicole Conn,A Perfect Ending
Julie Taymor,Across the Universe
Alejandro G. Iñárritu,Babel
Yanyong Kuruaungkoul,Back to the 90s
Ridley Scott,Black Hawk Down
Neill Blomkamp,Chappie
Joe Roth,Christmas with the Kranks
Steve Carr,Daddy Day Care
Mark Landre Gould,Gone are the Days
David Mackenzie,Hell or High Water
Steven Spielberg,Indiana Jones and the Kingdom of the Crystal Skull
Steven Spielberg,Indiana Jones and the Last Crusade
Steven Spielberg,Indiana Jones and the Raiders of the Lost Ark
Steven Spielberg,Indiana Jones and the Temple of Doom
Kevin Smith,Jay and Silent Bob Strike Back
Clint Eastwood,Jersey Boys
Lori Kaye,Kevyn Aucoin: Beauty & the Beast in Me
William H. Macy,Krystal
Massy Tadjedin,Last Night
Guy Ritchie,"Lock, Stock and Two Smoking Barrels"
Lenin Bharathi,Merku Thodarchi Malai
Mike Newell,Mona Lisa Smile
Jay Chapman,Moshe Kasher: Live in Oakland
James Foley,Perfect Stranger
Kunihiko Yuyama,Pokémon the Movie: I Choose You!
Quentin Tarantino,Pulp Fiction
Ranjit Jeyakodi,Puriyatha Puthir
Ram,Taramani
Antoine Fuqua,Tears of the Sun
Mark Herman,The Boy in the Striped Pajamas
Alex Proyas,The Crow
Ben A. Williams,The Pass
Stephen Daldry,Trash
John Fortenberry,Whitney Cummings: Money Shot
Rob Cohen,XXx
Lee Tamahori,XXX: State of the Union
Chandrakant Kulkarni,Aajcha Divas Majha
Uttung Shelar,Aata Pita
Greg Kohs,AlphaGo
"Sumitra Bhave, Sunil Sukthankar",Badha
Lisa Arnold,Camp Cool Kids
Bedabrata Pain,Chittagong
"Sumitra Bhave, Sunil Sukthankar",Devrai
Reiner Holzemer,Dries
Kim Nguyen,Empire of Scents
Jose Manuel Colón,Eve's Apple
Nagraj Manjule,Fandry
Bob Rose,Functional Fitness
Abba T. Makama,Green White Green (And All the Beautiful Colours in My Mosaic of Madness)
"Joe Dietsch, Louie Gibson",Happy Hunting
Chris Sivertson,Heartthrob
Amar Gupte,Hridaynath
Sooraj R. Barjatya,Hum Aapke Hain Koun
Sooraj R. Barjatya,Hum Saath-Saath Hain
Sachin,Ideachi Kalpana
Amardeep Singh Gill,Jora 10 Numbaria
Jon M. Chu,Justin Bieber: Never Say Never
Chandrakant Kulkarni,Kay Dyache Bola
Pratim D. Gupta,Maacher Jhol
Ben Patterson,Maddman: The Steve Madden Story
Sooraj R. Barjatya,Maine Pyar Kiya
David Batty,Martin Luther: The Idea that Changed the World
Sachin,Maza Pati Karodpati
Santosh Manjrekar,Mi Shivajiraje Bhosale Boltoy
"Steve Ball, Andrew Duncan",Monster High: Escape from Skull Shores
Dustin McKenzie,Monster High: Friday Night Frights
"Victor Dal Chele, Alfred Gimeno",Monster High: Fright On!
William Lau,"Monster High: Frights, Camera, Action!"
"Dustin McKenzie, Steve Sacks",Monster High: Why Do Ghouls Fall in Love?
"Kiki Goshay, Jacqueline Monetta",Not Alone
Peter Pardini,Now More Than Ever: The History of Chicago
Lars von Trier,Nymphomaniac: Volume 1
Rebecca Zlotowski,Planetarium
René Pérez Joglar,Residente
Rajeev Patil,Sanai Choughade
Sudesh Manjrekar,Shahanpan Dega Deva
Kevin Phillips,Super Dark Times
Jee-woon Kim,The Age of Shadows
Niyi Akinmolayan,The Arbitration
Satish Manwar,The Damned Rain
Alison MacLean,The Rehearsal
David Koepp,The Trigger Effect
Dan Bush,The Vault
Sameer Vidwans,Time Please
Sam Hobkinson,Treasures from the Wreck of the Unbelievable
Kedar Shinde,Yanda Kartavya Aahe
Karan Bali,An American in Madras
Rohit Mittal,Autohead
"Steve Hickner, Simon J. Smith",Bee Movie
Jalil Lespert,Headwinds
Matt Kugelman,Hurricane Bianca
Hari Viswanath,Radiopetti
Pratim D. Gupta,Saheb Bibi Golaam
Pieter-Jan De Pue,The Land of the Enlightened
Miriam Chandy Menacherry,The Rat Race
"Edward Ellis, Flor Salcedo, Aaron Woolf",To Be a Miss
Abhishek Chaubey,Udta Punjab
Jerry Rothwell,How to Change the World
NA,"Power Rangers Samurai: Christmas Together, Friends Forever (Christmas Special)"
NA,Power Rangers Samurai: Clash of the Red Rangers
NA,Power Rangers Samurai: Party Monsters (Halloween Special)
"Charlie Haskell, Koichi Sakamoto",Power Rangers Super Megaforce: The Legendary Battle (Extended)
NA,Power Rangers Super Samurai: Stuck on Christmas
NA,Power Rangers Super Samurai: Trickster Treat
NA,Power Rangers: Megaforce: Raising Spirits
James Barr,Power Rangers: Megaforce: The Robo Knight Before Christmas
Sorin Dan Mihalcescu,To and From New York
Harold Cronk,God Bless the Broken Road
"Roberta Grossman, Sophie Sartain",Seeing Allred
David Bruckner,The Ritual
Tamta Gabrichidze,The Trader (Sovdagari)
Ari Sandel,When We First Met
Caradog W. James,Don't Knock Twice
Steven Soderbergh,High Flying Bird
Brad Bird,Incredibles 2 (Spanish Version)
Tom Stern,Kevin Hart's Guide to Black History
Kelly Duane de la Vega,ReMastered: The Two Killings of Sam Cooke
Julio Medem,The Tree of Blood
Toa Fraser,6 Days
Deane Taylor,Blinky Bill: The Movie
Luis Javier M. Henaine,Happy Times
"Mathias Malzieu, Stéphane Berla",Jack and the Cuckoo-Clock Heart
Jenna Laurenzo,Lez Bomb
"Scott Aukerman, Akiva Schaffer","Michael Bolton's Big, Sexy Valentine's Day Special"
Hark Tsui,Di Renjie zhi Sidatianwang
Bob Nelson,The Confirmation
Lance Bangs,Fred Armisen: Standup For Drummers
Trevor Ryan,Welcome to Willits
Alex Zamm,Woody Woodpecker
Charles Stone III,Lila & Eve
Michael Showalter,"Ray Romano: Right Here, Around the Corner"
Stephen Cone,Princess Cyd
Julius Onah,The Cloverfield Paradox
Jordan Ross,Thumper
"Krishna Agazzi, Filippo Gastaldi",Naga The Eternal Yogi
Alison E. Rose,Star Men
Roland Joffé,The Lovers
Lance Bangs,Hannibal Buress: Comedy Camisado
Philipp Stölzl,El último testigo
Craig Moss,The Charnel House
"Wade Allain-Marcus, Jesse Allain-Marcus",French Dirty
"Raúl Campos, Jan Suter",Daniel Sosa: Sosafado
Malik Vitthal,Imperial Dreams
"Vonda Harrell, Daniel Camenisch",Billy Graham: An Extraordinary Journey
"Fabio Guaglione, Fabio Resinaro",Mine
Carlos Vermut,Quién te cantará
Shaina Allen,The Rebound
Joey Kern,Big Bear
Hong-seon Kim,반드시 잡는다
Lilibet Foster,Be Here Now
"Seth Barrish, Mike Birbiglia",Mike Birbiglia: Thank God for Jokes
J.C. Falcón,People You May Know
Cathy Garcia-Molina,A Second Chance
Wenn V. Deramas,Beauty and the Bestie
Mae Czarina Cruz,Bride For Rent
Mae Czarina Cruz,Can't Help Falling in Love
Sridhar Rangayan,Evening Shadows
Cathy Garcia-Molina,Four Sisters and a Wedding
Wenn V. Deramas,"Girl, Boy, Bakla, Tomboy"
Cathy Garcia-Molina,It Takes a Man and a Woman
Cathy Garcia-Molina,My Ex & Whys
"Saw Teong Hin, Nik Amir Mustapha, M.S. Prem Nath",Rise: Ini Kalilah
Cathy Garcia-Molina,She's Dating the Gangster
Dan Villegas,The Breakup Playlist
Olivia M. Lamasan,The Mistress
Wenn V. Deramas,The Only Mother To You All
Cathy Garcia-Molina,You Changed My Life
Antoinette Jadaone,You're My Boss
NA,Derren Brown: The Push
Marcus Raboy,Marlon Wayans: Woke-ish
Abhinay Deo,Force 2
John Asher,Ralphie May: Unruly
Jesse Peretz,Our Idiot Brother
Michael Blieden,Zach Galifianakis: Live at the Purple Onion
Sherwin Shilati,People You May Know
"Mark Columbus, Lauren Hoekstra, Sarah Kruchowski, Ryan Moody, Simon Savelyev, Vanita Shastry, Shadae Lamar Smith, Jeremy David White",The Heyday of the Insensitive Bastards
Dejan Zečević,The Rift: The Dark Side of the Moon
Pascale Lamche,Winnie
Lô Politi,Jonas
Yuen Wo-Ping,"Crouching Tiger, Hidden Dragon: Sword of Destiny"
Joshua Oppenheimer,The Look of Silence
Jeremy Saulnier,Blue Ruin
Charles Martin Smith,Dolphin Tale 2
Pawan K Shrivastava,Life of An Outcast
Paco Plaza,Veronica
Tomas Portella,Operações Especiais
"Kazuchika Kise, Masahiko Murata",Ghost Pain
Kazuchika Kise,Ghost Tears
Kazuchika Kise,Ghost Whispers
Macon Blair,I Don't Feel at Home in This World Anymore
Mitch Schauer,Marvel Super Hero Adventures: Frost Fight!
Mar Targarona,The Photographer Of Mauthausen
Duncan Jones,Mute
Steven Gomez,Kill Command
"Robert Cannan, Ross Adam",The Lovers and the Despot
Ryan Polito,Bert Kreischer: The Machine
Aruna Raje,Firebrand
Alex Lehmann,Paddleton
Elisabeth Vogler,Paris Is Us
Parambrata Chatterjee,Shonar Pahar
Brian A. Miller,The Prince
Errol Morris,The Unknown Known
Adam Smith,Trespass Against Us
Benjamin Ree,Magnus
Susannah Ward,Secrets of Chatsworth
Sam Taplin,Secrets of Henry VIII's Palace: Hampton Court
Kasia Uscinska,Secrets of Her Majesty's Secret Service
Vicky Matthews,Secrets of Highclere Castle
Vicky Matthews,Secrets of the Tower of London
Woo Min-ho,The Drug King
"Femi Oyeniran, Nicky Slimting Walker",The Intent 2: The Come Up
Hang-Jun Jang,Forgotten
Steven Spielberg,Lincoln
Kurt Voelker,The Bachelors
David Paul Meyer,Trevor Noah: Afraid of the Dark
Constance Marks,Being Elmo: A Puppeteer's Journey
Paul Miller,Kevin James: Sweat the Small Stuff
Michael Del Monte,Transformer
Andreas Johnsen,Bugs
Nora Twomey,The Breadwinner
Rakeysh Omprakash Mehra,Mirzya
Chris Blake,All Light Will End
Johnny Kevorkian,Await Further Instructions
Amshan Kumar,Manusangada
David L.G. Hughes,Viking Destiny
Michael McKay,Kavin Jay: Everybody Calm Down!
Ildiko Enyedi,On Body and Soul
You-Jeong Chang,The Bros
Richard Bates Jr.,Trash Fire
Steve McLean,Postcards from London
Robert Rodriguez,Spy Kids: All the Time in the World
Gregory Caruso,A Week in Watts
Benjamin Arfmann,Dismissed
Fumihiko Sori,FullMetal Alchemist
Shin-yeon Won,Memoir of a Murderer
Mar Targarona,Boy Missing
Keith Scholey,Growing Up Wild
Juan Pablo Buscarini,Tini: The New Life of Violetta
"Keiichi Sato, Yasushi Kawamura",GANTZ:O
Chad Van De Keere,Abominable Christmas
Chad Van De Keere,Dear Dracula
Suseenthiran,Genius
Lucky McKee,Blood Money
Sanjeev Gupta,INDIA
Paul Tanter,Kill Ratio
Nishikant Kamat,Madaari
Nishikant Kamat,Rocky Handsome
Ribhu Dasgupta,TE3N
Kevin MacDonald,Black Sea
Matt Tyrnauer,Studio 54
Stephan Rick,The Super
Mariano Baez,Agustín Aristarán: Soy Rada
Stephanie Laing,Irreplaceable You
Gus Van Sant,Milk
Logan Kibens,Operator
"Leo Riley, Eric Radomski",Marvel's Iron Man & Hulk: Heroes United
Vincent Perez,Alone in Berlin
Ozan Açıktan,Among Family
Carlos Marques-Marcet,Anchor and Hope
Prasanth Varma,Awe
Gangadhar Salimath,Ayana
Daniel J. Clark,Behind the Curve
Marcelo Galvão,Buddies
Shanawaz Nellikunnil,Candyflip
Sudhir Mishra,Chameli
Danny J. Boyle,Deadly Scholars
Rajat Kapoor,Fatso
Bedran Güzel,My Travel Buddy
Hari Nath,Neevevaro
Josh Webber,Never Heard
"Adam Collins, Luke Radford",Outlawed
Saket Chaudhary,Pyaar Ke Side Effects
Tanuja Chandra,Sur: The Melody of Life
"Jackie van Beek, Madeleine Sami",The Breaker Upperers
Blair Hayes,The Detained
Sachin Kamlakar Khot,Ugly Aur Pagli
Tolga Örnek,You're Everything To Me
Daniel Monzón,Yucatán
Sung-soo Kim,Asura: The City of Madness
Chandrakant Kanse,Daagdi Chaawl
Sanjay Jadhav,Fakta Ladh Mhana
"Sudesh Manjrekar, Atul Kale",Matichya Chuli
Avadhoot Gupte,Morya
Satish Rajwade,Premachi Goshta
Sanjay Soorkar,Sakhi
Gajendra Ahire,Sarivar Sari
Michael J. Bassett,Solomon Kane
Chandrakant Kulkarni,Tukaram
Avadhoot Gupte,Zenda
Thomas Stuber,A Heavy Heart
Christopher Chambers,"Aram, Aram"
Giulio Base,La Coppia dei Campioni
"Sam Dunn, Scot McFadyen",Rush: Beyond the Lighted Stage
Raúl Arévalo,The Fury of a Patient Man
Matías Bize,The Memory of Water
Alex Holmes,Stop at Nothing: The Lance Armstrong Story
Tanuj Chopra,Grass
Jon M. Chu,"Ken Jeong: You Complete Me, Ho"
Bo Burnham,Chris Rock: Tamborine
Anand Tiwari,Love Per Square Foot
Michael Paul Stephenson,Girlfriend's Day
Colin Dench,Katherine Ryan: In Trouble
Jesús Magaña Vázquez,Me and the Alien
Corey Grant,Sister Code
Gareth Evans,Merantau
"Shaul Schwarz, Christina Clusiau",Trophy
NA,Virunga: Gorillas in Peril
Rayka Zehtabchi,Period. End of Sentence.
"Jevons Au, Zune Kwok, Chow Kwun-wai, Ng Ka-Leung, Wong Fei-Pang",Ten Years
Olivier Assayas,Clouds of Sils Maria
Jeremiah Zagar,We the Animals
Afonso Poyart,Stronger Than the World
Ricky Gervais,David Brent: Life on the Road
NA,Grillo vs Grillo
"Joachim Fest, Christian Herrendoerfer",Hitler - A Career
"Adam Davis, Jerry Kolber, Trey Nelson, Erich Sturm",14 Minutes from Earth
"Chris Weitz, Paul Weitz",About a Boy
Stephen Daldry,Billy Elliot
Brad Peyton,Cats & Dogs: The Revenge of Kitty Galore
"Hsu Chih-yen, Mag Hsu",Dear Ex
Emma Hatherley,E-Cigarettes: Miracle or Menace?
NA,Free Rein: Valentine's Day
Meghna Gulzar,Guilty
Eddie Martin,Have You Seen the Listers?
Kelly Noonan,Heal
Rick Morales,Lego DC Comics: Batman Be-Leaguered
Michael D. Black,LEGO Marvel Super Heroes: Black Panther
NA,LEGO Marvel Super Heroes: Guardians of the Galaxy
NA,LEGO Ninjago: Masters of Spinjitzu: Day of the Departed
Michael Winnick,Malicious
James McTeigue,Ninja Assassin
Olivier Assayas,Personal Shopper
Kelly Fremon Craig,The Edge of Seventeen
Kyle Rankin,The Witch Files
Pramod Pawar,Truckbhar Swapna
NA,True: Happy Hearts Day
Dan Gilroy,Velvet Buzzsaw
Rebecca Harrison,What Makes a Psychopath?
"Milla Harrison-Hansley, Alicky Sussman",Why Are We Getting So Fat?
Storm Theunissen,World's Weirdest Homes
Jack C. Newell,42 Grams
Karyn Kusama,Æon Flux
Fisher Stevens,Before the Flood
Neil Triffett,Emo the Musical
NA,Gender Revolution: A Journey with Katie Couric
Tom O'Dell,How the Beatles Changed the World
John Trengove,Inxeba
NA,John Mellencamp: Plain Spoken
NA,Liberated: The New Sexual Revolution
Ui-seok Jo,Master
Michael Mayer,Mortified Nation
Greg MacGillivray,National Parks Adventure
Drake Doremus,Newness
Amber Tamblyn,Paint It Black
Marina Zenovich,Water & Power: A California Heist
Gurvinder Singh,Chauthi Koot
Rohit Shetty,Dilwale
Anjali Nayar,Gun Runners
Farah Khan,Happy New Year
Shlok Sharma,Haraamkhor
Joaquín Mazón,Heroes Wanted
Scott Hicks,Highly Strung
Adam Sjöberg,I Am Sun Mu
John Stewart Muller,Indiscretion
"Leandro Mark, Nicolás Silbert",La Última Fiesta
Pulkit,Maroon
Jennie Livingston,Paris Is Burning
Vlad Yudin,The Hurt Business
Jonás Trueba,The Reconquest
Peter DeLuise,Zapped
Robbie Countryman,A Family Reunion Christmas
Trey Edward Shults,It Comes at Night
Jason James,Entanglement
James Yukich,Mariah Carey's Merriest Christmas
Nic Mathieu,Spectral
"Gary Howsam, Mike Smith, John Paul Tremblay, Robb Wells","Trailer Park Boys: Drunk, High and Unemployed: Live in Austin"
Pierre Morel,From Paris with Love
Sujeeth,Saaho
"Agasyah Karim, Khalid Kashogi",Because of Soccer
Jonathan Sobol,The Art of the Steal
Ifa Isfansyah,The Dancer
Nia Dinata,The Gathering
"Rudy Soedjarwo, Riri Riza",What's Up With Love?
Abhinay Deo,Delhi Belly
Kiran Rao,Dhobi Ghat (Mumbai Diaries)
David E. Talbert,El Camino Christmas
Umesh Mehra,Jaal
Abbas Tyrewala,Jaane Tu... Ya Jaane Na
Ashutosh Gowariker,Lagaan
Bhagyaraj,Papa the Great
"Anusha Rizvi, Mahmood Farooqui",Peepli Live
"Latif Faiziyev, Umesh Mehra",Shikari
Aamir Khan,Taare Zameen Par
Baltasar Kormákur,The Oath
John Stockwell,Kickboxer: Vengeance
Chris Kelly,Other People
Karey Kirkpatrick,Imagine That
Alexandre Avancini,Nothing to Lose 2
Marco Risi,5 Star Christmas
Anne Fletcher,Dumplin'
Marek Losey,Free Rein: The Twelve Neighs of Christmas
Andy Serkis,Mowgli: Legend of the Jungle
Brian Oakes,ReMastered: Who Killed Jam Master Jay?
Jacob Joice,Super Monsters and the Wish Star
Bert Marcus,The American Meme
Drew Heriot,The Secret
BB Sasore,Banana Island Ghost
Pascal Amanfo,Celebrity Marriage
Noah Baumbach,Marriage Story
Atsuko Ishizuka,No Game No Life: Zero
Eric Aghimien,Slow Country
NA,Spirit Riding Free: Spirit of Christmas
Bruce Robinson,THE RUM DIARY
Omoni Oboli,Wives on Strike
Omoni Oboli,Wives on Strike: The Revolution
Saratswadee Wongsomphet,Yes or No
Joel Crawford,Trolls Holiday Special
Alex Lehmann,Blue Jay
Roman Gackowski,One in a Billion
Benjamin Dickinson,Reggie Watts: Spatial
Mads Matthiesen,The Model
John Schultz,A Christmas Prince: The Royal Baby
NA,The Irishman: In Conversation
Simon Baker,Breath
Jay Chapman,Craig Ferguson: Tickle Fight
Kasra Farahani,The Good Neighbor
Jay Karas,Bill Burr: I'm Sorry You Feel That Way
Ladislas Chollat,Let's Dance
Michael Mason,God's Not Dead: A Light in Darkness
Chris Howe,RUSSELL BRAND: RE:BIRTH
Ofir Raul Graizer,The Cakemaker
Sacha Wolff,Mercenary
Sofia Coppola,A Very Murray Christmas
Nagesh Kukunoor,3 Deewarein
Prakash Jha,Aarakshan
Ravi Babu,Aaviri
Sandeep Chatterjee,Adrishya
Shivam Nair,Ahista Ahista
Soumitra Ranade,Albert Pinto Ko Gussa Kyun Aata Hai?
Manmohan Desai,Amar Akbar Anthony
Manish Jha,Anwar
Raja Menon,Barah Aana
Hrishikesh Mukherjee,Bawarchi
Sagar Sarhadi,Bazaar
Jon Rosenbaum,Benchwarmers 2: Breaking Balls
Priyadarshan,Bhagam Bhag
Ram Gopal Varma,Bhoot
Raj Kapoor,Bobby
David Carson,Carrie
David Dhawan,Chal Mere Bhai
Tom Holland,Child's Play
Hrishikesh Mukherjee,Chupke Chupke
Tanveer Khan,Deadline: Sirf 24 Ghante
Indra Kumar,Dhamaal
Lee Tamahori,Die Another Day
Chandra Barot,Don
Ajay Phansekar,Encounter: The Killing
Rajkumar Santoshi,Ghayal
Partho Ghosh,Ghulam-E-Musthafa
Hrishikesh Mukherjee,Gol Maal
Martin Campbell,GoldenEye
Rohit Shetty,Golmaal: Fun Unlimited
David Mirkin,Heartbreakers
Prakash Mehra,Hera Pheri
Bruce Leddy,How High 2
Shirish Kunder,Jaan-E-Mann: Let's Fall in Love... Again
Madhur Bhandarkar,Jail
Radhu Karmakar,Jis Desh Men Ganga Behti Hai
Ahishor Solomon,John Day
David Dhawan,Judwaa
Tinnu Anand,Kaalia
Sai Paranjape,Katha
Hrishikesh Mukherjee,Khubsoorat
Gulzar,Koshish
Remy Kohli,Kuldip Patwal: I Didn't Do It!
David Dhawan,Maine Pyaar Kyun Kiya
Shekhar Kapur,Masoom
David Dhawan,Mujhse Shaadi Karogi
Prakash Mehra,Namak Halaal
Karan Lalit Butani,Phamous
Abhishek Saxena,Phullu
Basu Chatterjee,Rajnigandha
Raj Kapoor,Ram Teri Ganga Maili
Sanjay Dayma,Ramji Londonwaley
John Milius,Red Dawn
Amit Rai,Road to Sangam
Raman Kumar,Saath Saath
Balu Mahendra,Sadma
Raj Kapoor,Sangam
Raj N. Sippy,Satte Pe Satta
Ram Gopal Varma,Shiva
Basu Chatterjee,Swami
Tariq Khan,The Dark Side of Life: Mumbai City
Shakti Samanta,The Great Gambler
Michael Apted,The World Is Not Enough
Roger Spottiswoode,Tomorrow Never Dies
Madhur Bhandarkar,Traffic Signal
Shyam Benegal,"Trikal (Past, Present, Future)"
Sanjay Patel,Union Leader
Ashu Trikha,Veerey Ki Wedding
Kushal Srivastava,Vodka Diaries
Chandra Prakash Dwivedi,Zed Plus
John Fortenberry,Bill Hicks: One Night Stand
NA,Bill Hicks: Reflections
Chris Bould,Bill Hicks: Relentless
Chris Bould,Bill Hicks: Revelations
"Kevin Booth, David Johndrow",Bill Hicks: Sane Man
Paul M. Green,Gina Yashere: Laughing to America
NA,Gina Yashere: Skinny B*tch
Julio Fernández Talamantes,Mexicanos de Bronce
Walter C. Miller,Sam Kinison: Breaking the Rules
Walter C. Miller,Sam Kinison: Family Entertainment Hour
Walter C. Miller,Sam Kinison: Live in Vegas
NA,Sam Kinison: The Scream Continues
NA,Secrets in the Hot Spring
Paul Dugdale,Taylor Swift reputation Stadium Tour
Tommy Avallone,The Bill Murray Stories: Life Lessons Learned From a Mythical Man
Noriyuki Abe,The Seven Deadly Sins the Movie: Prisoners of the Sky
Ellen Brown,Tim Allen: Men Are Pigs
NA,Tim Allen: ReWires America
Matt Askem,Tim Minchin And The Heritage Orchestra Live
Matt Askem,Tim Minchin: So F**king Rock
Jay Chapman,Todd Glass: Stand-Up Special
Rob Zombie,Tom Papa Live in New York City
Barry Avrich,Blurred Lines: Inside the Art World
"Gary Cohen, Ross Hockrow",Born Strong
"Fabien Beziat, Hugues Nancy",Elles étaient en guerre (1914-1918)
Nils Tavernier,Elles ont toutes une histoire
Alethea Jones,Fun Mom Dinner
Rich Ragsdale,Ghost House
"Dana Doron, Uriel Sinai",Numbered
Hidetaka Inazuka,Twice
James Brown,You Can Tutu
Paul Schrader,Dog Eat Dog
Diego Luna,Mr. Pig
Brittany Andrews,After Porn Ends 3
Tim Blake Nelson,Anesthesia
André Øvredal,The Autopsy of Jane Doe
Jay Baruchel,Goon: Last of the Enforcers
Rodrigo Van Der Put,The First Temptation of Christ
Linda Mendoza,Tiffany Haddish: Black Mitzvah
John Michael McDonagh,War on Everyone
Theo Davies,Wish Man
Timothy Woodward Jr.,Silencer
Benoît Jacquot,Diary of a Chambermaid
Fernando Frías De La Parra,Rezeta
John Hillcoat,Lawless
"Måns Mårlind, Björn Stein",Shelter
Ludovic Bernard,The Climb
Jason Moore,Shrek the Musical
Yuki Yamato,Hot Gimmick: Girl Meets Boy
Álvaro Brechner,A Twelve Year Night
Levan Tsikurishvili,Avicii: True Stories
NA,Black Mirror: Bandersnatch
Rakesh Mehta,Life Ki Toh Lag Gayi
Mat Whitecross,Oasis: Supersonic
NA,Rehmataan
Eduardo Chauvet,The Birth Reborn 3
Gonzalo Bendala,When Angels Sleep
"Stefan Aust, Dirk Laabs",The NSU-Complex
Biyi Bandele,Fifty
Andrew Wessels,Blitz Patrollie
Emir Kusturica,"El Pepe, a Supreme Life"
Chris Renaud,The Secret Life of Pets 2
Odunlade Adekola,The Vendor
Jason Stone,At First Light
Detlev Buck,Bibi & Tina: Tohuwabohu Total
Luis Prieto,Pusher
Elisa Fuksas,The App
Vic Armstrong,Left Behind
Anne Fontaine,The Innocents
Noël Wells,Mr. Roosevelt
Jay Chapman,Todd Barry: Spicy Honey
"Marc Francis, Max Pugh",Walk with Me
Alik Sakharov,Marco Polo: One Hundred Eyes
Tony Giglio,Doom: Annihilation
"Akiyuki Shinbo, Nobuyuki Takeuchi",Fireworks
Ron Oliver,Grand-Daddy Day Care
Don Michael Paul,Jarhead: Law of Return
"Shojiro Nishimi, Guillaume Renard",MFKZ
J.D. Dillard,Sweetheart
"Anthony Russo, Joe Russo",Avengers: Infinity War
Michael Petroni,Backtrack
Erik Nelson,A Gray State
"Ritu Sarin, Tenzing Sonam",When Hari Got Married
Pepe Bojórquez,Como caído del cielo
Rhys Thomas,John Mulaney & The Sack Lunch Bunch
Jeff Baena,The Little Hours
Patrick Brice,Creep 2
Jorge Michel Grau,7:19
"Riki Lindhome, Jeremy Konner",Garfunkel and Oates: Trying to be Special
Werner Herzog,Lo and Behold: Reveries of the Connected World
David M. Rosenthal,Jacob's Ladder
Ross Boyask,I Am Vengeance
Bruce Beresford,Mr. Church
David Ayer,Bright
Satyajit Bhatkal,Madness in the Desert
Louise Alston,Back of the Net
Sunkanmi Adebayo,Lost in London
Kheiron,Bad Seeds
Susanne Bier,Bird Box
Irek Dobrowolski,Struggle: The Life and Lost Art of Szukalski
Rodrigo Van Der Put,The Last Hangover
Josh Mendoza,What Still Remains
Diego Kaplan,Desire
Ari Levinson,Figures of Speech
George Ford,Fireplace 4K: Classic Crackling Fireplace from Fireplace for Your Home
George Ford,Fireplace 4K: Crackling Birchwood from Fireplace for Your Home
Omoni Oboli,Being Mrs Elliot
Falz,Falz Experience
Frank Rajah Arase,Iyore
Omoni Oboli,The First Lady
Fernando Meirelles,The Two Popes
Hasraf Dulull,2036 Origin Unknown
Gilbert Chan,23:59
Rarecho,Aggretsuko: We Wish You a Metal Christmas
Steve Cheng,Imperfect
Sam Loh,Lang Tong
Jason Lai,Miss J Contemplates Her Choice
"Marco Deufemia, Justin G. Dyck",48 Christmas Wishes
Lydia Tenaglia,Jeremiah Tower: The Last Magnificent
Thomas Astruc,A Christmas Special: Miraculous: Tales of Ladybug & Cat Noir
Pablo Parés,Daemonium
Manny Rodriguez,Gabriel lglesias: I’m Sorry For What I Said When I Was Hungry
David Grossman,George of the Jungle 2
Mario Cambi,Leo the Lion
Luc Vinciguerra,Magic Snowflake
Luc Vinciguerra,Santa's Apprentice
Ahsan Rahim,Teefa in Trouble
Yorgos Lanthimos,The Lobster
Imtiaz Ali,Jab Harry Met Sejal
Michael Barrett,Temple
